Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
5.005.01c,c,G,H,L,H,H,L,H,L,H
5.005.02a,a,G,L,H,H,H,L,H,L,L
5.005.02b,b,G,L,H,H,L,L,H,L,L
5.005.02c,c,G,L,H,L,L,L,H,L,L
5.005.03a,a,G,H,L,H,H,L,H,L,L
5.005.03b,b,G,H,H,H,L,L,L,L,L
5.005.03c,c,G,L,H,L,H,L,H,L,H
5.005.04a,a,G,H,H,L,H,L,L,H,L
5.005.04b,b,G,L,L,H,L,L,H,L,L
5.005.04c,c,G,L,H,H,H,L,H,L,H
5.005.05a,a,G,H,H,H,H,L,L,H,L
5.005.05b,b,G,H,H,L,H,L,H,L,H
5.005.05c,c,G,H,L,H,H,L,H,L,L
5.005.06a,a,G,H,L,H,H,L,H,L,H
5.005.06b,b,G,H,L,L,H,L,H,L,H
5.005.06c,c,G,H,H,L,H,L,H,L,H
5.005.07a,a,G,H,H,L,H,L,H,L,H
5.005.07b,b,G,H,H,H,H,H,L,L,L
5.005.07c,c,G,L,H,H,H,L,H,L,L
5.005.08a,a,G,L,H,L,H,L,H,L,H
5.005.08b,b,G,H,H,H,H,L,H,L,L
5.005.08c,c,G,H,H,H,H,L,H,L,L
5.005.09a,a,G,L,H,H,L,L,H,L,L
5.005.09b,b,G,L,H,H,L,L,L,L,H
5.005.09c,c,G,H,H,H,H,L,L,L,L
5.005.10a,a,G,H,L,H,L,L,H,L,H
5.005.10b,b,G,H,H,H,H,H,H,H,L
5.005.10c,c,G,H,L,H,H,L,H,L,L
5.005.11a,a,G,H,H,L,H,L,L,H,L
5.005.11b,b,G,H,H,H,L,L,H,L,L
5.005.11c,c,G,H,H,H,H,L,H,L,L
5.007.02a,a,A,H,H,H,H,L,L,L,H
5.007.02b,b,A,H,H,L,H,L,L,L,H
5.007.02c,c,A,H,H,H,H,L,H,L,H
5.007.02d,d,A,H,L,L,H,L,H,L,L
5.007.04a,a,A,L,H,L,H,L,H,L,H
5.007.04b,b,A,H,H,H,H,L,H,L,H
5.007.04c,c,A,L,H,H,H,L,H,L,H
5.007.04d,d,A,L,H,L,H,L,L,L,L
5.007.05a,a,A,L,L,L,H,L,H,L,H
5.007.05b,b,A,H,H,L,L,L,H,L,L
5.007.05c,c,A,L,H,L,L,L,H,L,L
5.007.05d,d,A,H,H,H,H,L,L,L,L
5.007.09a,a,A,H,H,H,H,L,H,L,H
5.007.09b,b,A,H,H,L,H,L,H,L,H
5.007.09c,c,A,H,L,H,L,L,L,L,L
5.007.09d,d,A,H,H,H,H,L,H,L,H
5.009.01a,a,A,L,H,H,H,L,H,H,H
5.009.01b,b,A,H,H,H,H,L,H,L,H
5.009.01c,c,A,H,H,H,H,L,H,L,L
5.009.01d,d,A,L,H,H,H,L,H,L,L
5.009.02a,a,A,H,H,H,H,H,L,L,L
5.009.02b,b,A,L,H,L,H,L,H,L,L
5.009.02c,c,A,H,H,H,H,L,H,L,L
5.009.02d,d,A,H,H,H,H,L,H,L,L
5.010.02a,a,A,L,H,L,H,L,H,L,L
5.010.02b,b,A,H,H,H,H,L,H,L,H
5.010.02c,c,A,L,H,L,H,L,H,L,L
5.010.02d,d,A,H,H,H,H,L,H,L,L
5.010.05a,a,A,L,L,H,H,L,H,L,H
5.010.05b,b,A,H,H,H,H,L,H,L,H
5.010.05c,c,A,L,H,H,H,L,H,L,L
5.010.05d,d,A,H,H,L,H,L,H,L,L
5.013.01a,a,G,H,H,H,H,L,H,L,H
5.013.01b,b,G,H,H,H,L,L,H,L,L
5.013.01c,c,G,H,H,H,H,L,H,L,H
5.013.02a,a,G,H,H,H,H,L,H,L,H
5.013.02b,b,G,H,L,H,L,L,H,L,L
5.013.02c,c,G,H,H,L,L,L,H,L,L
5.013.03a,a,G,H,H,L,L,L,H,L,H
5.013.03b,b,G,H,H,H,H,L,H,L,H
5.013.03c,c,G,L,H,H,H,L,H,L,L
5.013.04a,a,G,L,H,H,H,L,L,L,L
5.013.04b,b,G,H,H,H,H,L,H,L,L
5.013.04c,c,G,L,H,H,H,L,H,L,H
5.013.05a,a,G,H,H,H,H,L,H,L,L
5.013.05b,b,G,H,H,H,H,L,H,L,L
5.013.05c,c,G,L,H,H,L,L,H,L,L
5.013.06a,a,G,H,H,H,L,L,H,L,L
5.013.06b,b,G,H,H,H,L,L,H,L,L
5.013.06c,c,G,H,H,H,H,L,H,L,H
5.014.01a,a,G,H,H,H,H,L,H,L,L
5.014.01b,b,G,L,L,H,H,L,H,L,L
5.014.01c,c,G,H,H,H,H,L,H,L,L
5.014.02a,a,G,L,H,L,H,L,H,L,H
5.014.02b,b,G,H,H,H,L,L,H,L,L
5.014.02c,c,G,L,H,H,H,L,H,L,H
5.014.03a,a,G,H,L,H,H,L,H,L,H
5.014.03b,b,G,L,H,H,H,L,H,L,H
5.014.03c,c,G,H,H,H,H,L,H,L,H
5.014.04a,a,G,H,H,H,H,L,H,L,L
5.014.04b,b,G,H,H,H,H,L,H,L,L
5.014.04c,c,G,L,H,H,L,L,H,L,L
5.014.05a,a,G,H,L,H,H,L,H,L,L
5.014.05b,b,G,L,L,H,H,L,H,L,L
5.014.05c,c,G,H,L,H,L,L,H,L,L
5.014.06a,a,G,H,H,L,H,L,H,L,L
5.014.06b,b,G,H,H,H,H,L,H,L,L
5.014.06c,c,G,L,H,H,H,L,H,L,L
5.016.01a,a,A,L,H,L,H,L,H,L,H
5.016.01b,b,A,H,H,H,H,L,H,L,H
5.016.01c,c,A,H,H,H,L,L,H,L,L
5.016.01d,d,A,H,H,H,L,L,H,L,L
5.017.01a,a,A,H,H,H,H,L,H,L,L
5.017.01b,b,A,H,H,H,H,L,H,L,H
5.017.01c,c,A,H,H,L,H,L,H,L,H
5.017.01d,d,A,H,L,H,H,L,L,L,H
5.017.02a,a,A,H,L,L,L,L,H,L,L
5.017.02b,b,A,H,H,L,H,H,H,L,H
5.017.02c,c,A,H,H,H,H,L,H,L,L
5.017.02d,d,A,H,H,L,H,L,H,L,H
5.017.03a,a,A,H,L,H,L,L,H,L,H
5.017.03b,b,A,L,H,H,L,L,H,L,H
5.017.03c,c,A,L,H,L,H,L,H,L,H
5.017.03d,d,A,L,H,H,H,L,H,L,L
5.017.04a,a,A,H,L,H,H,L,H,L,H
5.017.04b,b,A,H,H,L,L,L,L,L,H
5.017.04c,c,A,L,H,H,H,L,L,L,H
5.017.04d,d,A,H,H,H,L,L,H,L,H
5.018.01a,a,A,H,L,H,H,L,H,L,H
5.018.01b,b,A,L,L,L,H,L,L,L,L
5.018.01c,c,A,H,H,L,H,L,H,L,H
5.018.01d,d,A,H,H,H,H,L,H,L,L
5.018.02a,a,A,L,H,L,H,L,H,L,H
5.018.02b,b,A,H,L,H,H,L,H,L,H
5.018.02c,c,A,H,H,L,H,L,H,L,L
5.018.02d,d,A,H,H,H,L,L,H,L,L
5.019.01a,a,G,H,L,H,H,L,H,H,H
5.019.01b,b,G,L,H,H,H,H,L,H,L
5.019.01c,c,G,L,H,H,H,H,L,H,H
5.019.02a,a,G,L,L,H,L,L,L,H,H
5.019.02b,b,G,L,L,L,H,H,H,H,L
5.019.02c,c,G,H,H,H,L,H,L,L,L
5.019.03a,a,A,H,H,H,H,L,H,L,H
5.019.03b,b,A,L,H,H,H,L,H,L,L
5.019.03c,c,A,H,H,H,H,L,L,H,L
5.019.03d,d,A,H,H,H,H,L,H,L,L
5.019.04a,a,A,L,H,H,H,L,H,L,L
5.019.04b,b,A,L,H,L,H,L,H,L,H
5.019.04c,c,A,H,H,L,H,L,L,L,H
5.019.04d,d,A,L,H,H,H,L,H,L,L
5.020.01a,a,A,L,H,H,H,L,H,L,L
5.020.01b,b,A,L,H,H,H,L,H,L,L
5.020.01c,c,A,H,H,H,H,L,H,L,L
5.020.01d,d,A,H,H,H,L,L,H,L,L
5.020.02a,a,A,H,H,H,H,L,H,L,H
5.020.02b,b,A,H,L,H,H,L,L,L,L
5.020.02c,c,A,L,L,H,H,L,L,L,H
5.020.02d,d,A,H,H,L,H,L,H,L,H
5.020.03a,a,A,H,H,H,H,L,H,L,H
5.020.03b,b,A,H,H,H,H,L,H,L,L
5.020.03c,c,A,H,H,L,H,L,H,L,H
5.020.03d,d,A,L,H,H,H,L,H,L,H
5.021.01a,a,A,L,H,H,H,L,H,L,L
5.021.01b,b,A,L,H,H,L,L,H,L,L
5.021.01c,c,A,H,H,L,H,L,H,L,H
5.021.01d,d,A,H,H,H,L,L,H,L,L
5.021.02a,a,A,L,H,L,H,L,H,L,H
5.021.02b,b,A,H,H,H,H,L,H,L,H
5.021.02c,c,A,L,H,H,H,L,H,L,L
5.021.02d,d,A,L,H,L,H,L,H,L,H
5.021.03a,a,A,L,H,H,H,L,H,L,H
5.021.03b,b,A,H,H,H,H,L,H,L,L
5.021.03c,c,A,L,H,H,H,L,H,L,H
5.021.03d,d,A,H,H,L,H,L,H,L,H
5.022.01a,a,A,L,H,L,H,L,H,L,L
5.022.01b,b,A,H,H,L,H,L,H,L,H
5.022.01c,c,A,H,H,L,H,L,H,L,H
5.022.01d,d,A,H,H,H,L,L,H,L,L
5.022.02a,a,A,L,H,H,H,L,H,L,L
5.022.02b,b,A,L,H,H,H,L,H,L,L
5.022.02c,c,A,L,H,L,H,L,H,L,L
5.022.02d,d,A,H,H,H,H,L,H,L,L
5.022.03a,a,A,L,H,H,L,L,H,L,H
5.022.03b,b,A,H,H,H,H,L,H,L,H
5.022.03c,c,A,L,H,H,L,H,L,L,L
5.022.03d,d,A,L,H,H,L,L,H,L,L
5.023.01a,a,A,H,H,L,H,L,H,L,L
5.023.01b,b,A,H,H,L,H,L,H,L,L
5.023.01c,c,A,H,H,H,H,L,H,L,L
5.023.01d,d,A,H,H,H,H,L,H,L,L
5.023.02a,a,A,L,H,H,L,L,H,L,L
5.023.02b,b,A,L,H,L,H,L,H,L,L
5.023.02c,c,A,L,H,L,H,H,H,L,H
5.023.02d,d,A,H,H,H,H,L,H,L,L
5.023.03a,a,A,H,H,L,H,L,H,L,H
5.023.03b,b,A,L,H,H,H,L,H,L,L
5.023.03c,c,A,H,H,H,H,L,L,L,L
5.023.03d,d,A,L,H,L,H,L,H,L,L
5.025.02a,a,A,L,L,H,H,H,H,H,L
5.025.02b,b,A,H,H,H,H,L,H,L,H
5.025.02c,c,A,H,H,H,H,L,H,L,L
5.025.02d,d,A,L,H,L,H,L,H,L,L
5.025.03a,a,A,L,H,H,H,L,H,L,H
5.025.03b,b,A,L,H,L,H,L,L,L,H
5.025.03c,c,A,H,H,H,H,L,H,L,L
5.025.03d,d,A,L,H,L,H,L,H,L,L
5.025.04a,a,A,H,H,H,H,L,H,L,L
5.025.04b,b,A,H,H,H,H,L,H,L,L
5.025.04c,c,A,H,H,H,H,L,H,L,H
5.025.04d,d,A,H,H,H,H,L,H,L,L
5.025.05a,a,A,H,H,L,H,L,H,L,L
5.025.05b,b,A,L,H,H,H,L,H,L,L
5.025.05c,c,A,L,H,H,H,L,H,L,L
5.025.05d,d,A,H,H,L,H,L,H,L,H
5.025.06a,a,A,H,H,L,H,L,H,L,L
5.025.06b,b,A,H,H,L,H,L,H,L,L
5.025.06c,c,A,H,L,H,H,L,H,L,L
5.025.06d,d,A,H,H,L,L,L,H,L,L
5.025.07a,a,A,H,H,H,H,L,H,L,H
5.025.07b,b,A,L,L,H,L,L,H,L,H
5.025.07c,c,A,L,L,H,L,L,H,L,L
5.025.07d,d,A,L,H,H,L,L,H,L,H
5.025.08a,a,A,L,L,L,H,L,H,L,H
5.025.08b,b,A,H,H,L,H,L,H,L,L
5.025.08c,c,A,L,H,H,H,L,H,L,H
5.025.08d,d,A,H,H,H,L,L,H,L,L
5.025.09a,a,A,H,H,H,H,L,H,L,L
5.025.09b,b,A,L,L,H,H,L,H,L,L
5.025.09c,c,A,L,H,H,L,L,L,L,L
5.025.09d,d,A,H,H,H,H,L,H,L,L
5.026.01a,a,G,H,H,L,H,L,H,L,H
5.026.01b,b,G,H,L,H,H,L,H,L,H
5.026.01c,c,G,H,H,H,H,L,H,L,L
5.026.02a,a,G,H,H,L,H,L,H,L,H
5.026.02b,b,G,H,L,H,H,L,H,L,L
5.026.02c,c,G,H,H,H,H,L,H,L,L
5.026.03a,a,G,H,L,H,H,L,H,L,H
5.026.03b,b,G,L,H,H,L,L,H,L,L
5.026.03c,c,G,H,H,L,H,L,H,L,H
5.026.04a,a,G,H,H,H,H,L,H,L,L
5.026.04b,b,G,H,H,H,H,L,H,L,H
5.026.04c,c,G,H,H,H,H,L,H,L,H
5.026.05a,a,G,L,L,H,H,L,H,L,L
5.026.05b,b,G,H,H,L,H,L,H,L,L
5.026.05c,c,G,H,H,H,H,L,H,L,L
5.026.06a,a,G,L,L,H,H,L,H,L,L
5.026.06b,b,G,H,H,H,H,L,H,L,L
5.026.06c,c,G,H,H,H,H,L,H,L,L
5.026.07a,a,G,L,H,H,H,L,H,L,L
5.026.07b,b,G,H,L,H,H,L,H,L,L
5.026.07c,c,G,L,H,H,H,L,H,L,L
5.026.08a,a,G,L,H,L,H,L,H,L,L
5.026.08b,b,G,H,H,H,H,L,H,L,L
5.026.08c,c,G,L,H,L,H,L,H,L,H
5.026.09a,a,G,H,H,L,L,L,H,L,H
5.026.09b,b,G,H,H,H,H,L,L,L,L
5.026.09c,c,G,H,H,H,H,L,H,L,H
5.027.04a,a,A,H,L,L,L,L,H,L,L
5.027.04b,b,A,H,L,H,H,L,H,L,H
5.027.04c,c,A,L,L,L,H,L,H,L,H
5.027.04d,d,A,L,H,H,H,L,H,L,H
5.027.06a,a,A,H,H,H,L,L,H,L,L
5.027.06b,b,A,H,L,H,H,L,H,L,L
5.027.06c,c,A,H,H,H,L,L,H,L,L
5.027.06d,d,A,L,L,H,L,L,H,L,L
5.028.04a,a,A,L,H,H,L,L,L,L,H
5.028.04b,b,A,H,H,H,H,L,L,L,L
5.028.04c,c,A,L,L,H,H,L,H,L,L
5.028.04d,d,A,L,H,L,H,L,H,L,H
5.028.05a,a,G,L,H,L,H,L,H,L,L
5.028.05b,b,G,H,H,H,L,L,H,L,L
5.028.05c,c,G,L,H,L,H,L,H,L,L
5.028.06a,a,G,H,L,H,H,L,H,L,L
5.028.06b,b,G,H,H,L,L,L,H,L,H
5.028.06c,c,G,L,H,H,H,L,H,L,L
5.035.01a,a,A,H,H,H,H,H,L,L,L
5.035.01b,b,A,H,L,L,H,L,H,L,L
5.035.01c,c,A,H,H,H,H,L,H,L,L
5.035.01d,d,A,H,H,H,H,L,H,L,L
5.035.03a,a,A,H,H,L,H,L,H,L,L
5.035.03b,b,A,L,H,L,H,L,H,L,H
5.035.03c,c,A,L,L,H,H,L,H,L,L
5.035.03d,d,A,H,H,L,H,L,H,L,L
5.035.04a,a,A,L,H,L,L,L,H,L,H
5.035.04b,b,A,H,L,H,H,L,H,L,L
5.035.04c,c,A,H,H,H,H,L,H,L,L
5.035.04d,d,A,H,H,L,H,L,H,L,L
5.035.05a,a,A,L,H,L,H,L,H,L,L
5.035.05b,b,A,L,H,L,H,L,H,L,L
5.035.05c,c,A,H,L,L,H,L,H,L,H
5.035.05d,d,A,L,H,L,L,L,H,L,H
5.035.06a,a,A,L,H,H,H,L,H,L,L
5.035.06b,b,A,L,H,H,H,L,H,L,L
5.035.06c,c,A,H,H,H,H,L,H,L,L
5.035.06d,d,A,L,H,H,H,L,H,L,H
5.035.07a,a,A,H,H,L,H,L,H,L,L
5.035.07b,b,A,L,H,H,H,L,H,L,L
5.035.07c,c,A,L,H,H,H,L,H,L,H
5.035.07d,d,A,H,L,H,L,L,H,L,L
5.038.01a,a,A,L,H,L,H,L,H,L,H
5.038.01b,b,A,H,H,H,H,L,H,L,H
5.038.01c,c,A,L,H,H,H,L,H,L,H
5.038.01d,d,A,H,H,H,H,L,H,L,L
5.038.02a,a,A,L,H,H,L,L,H,L,L
5.038.02b,b,A,L,H,L,H,L,L,L,H
5.038.02c,c,A,H,L,H,H,H,H,L,L
5.038.02d,d,A,L,H,L,H,L,H,L,L
5.038.04a,a,A,L,H,L,H,L,H,L,L
5.038.04b,b,A,H,H,L,L,L,H,L,L
5.038.04c,c,A,H,H,H,H,L,H,L,L
5.038.04d,d,A,H,H,H,L,L,H,L,H
5.039.01a,a,A,L,H,L,H,L,H,L,H
5.039.01b,b,A,H,L,H,H,L,H,L,L
5.039.01c,c,A,H,H,H,H,L,H,L,L
5.039.01d,d,A,L,L,H,H,L,H,L,L
5.039.02a,a,A,H,H,L,H,L,H,L,L
5.039.02b,b,A,H,L,H,H,L,H,L,L
5.039.02c,c,A,H,H,L,H,L,H,L,L
5.039.02d,d,A,L,H,H,H,L,H,L,H
5.039.03a,a,A,H,H,H,L,L,H,L,L
5.039.03b,b,A,L,H,H,L,L,H,L,L
5.039.03c,c,A,H,L,H,H,L,H,L,L
5.039.03d,d,A,H,H,H,H,L,H,L,H
5.040.05a,a,A,H,H,H,L,L,H,H,L
5.040.05b,b,A,L,L,H,H,L,H,L,L
5.040.05c,c,A,H,H,L,H,L,H,H,H
5.040.05d,d,A,L,L,H,L,L,H,L,L
5.040.09a,a,A,H,H,H,H,L,H,H,L
5.040.09b,b,A,L,L,H,H,L,H,L,L
5.040.09c,c,A,H,L,H,L,H,L,H,L
5.040.09d,d,A,L,L,H,H,L,H,L,L
5.050.01a,a,A,H,H,H,H,L,L,L,L
5.050.01b,b,A,H,H,L,H,L,L,L,L
5.050.01c,c,A,H,H,H,L,L,H,L,L
5.050.01d,d,A,H,H,L,H,L,H,L,H
5.050.04a,a,A,H,L,H,L,L,L,L,H
5.050.04b,b,A,H,L,H,H,L,H,L,L
5.050.04c,c,A,L,L,H,H,L,H,L,H
5.050.04d,d,A,H,H,H,H,L,L,L,H
5.051.01a,a,G,H,H,L,H,L,H,L,H
5.051.01b,b,G,H,H,H,H,L,H,L,L
5.051.01c,c,G,H,H,H,H,L,H,L,H
5.051.02a,a,G,L,L,H,L,L,H,L,L
5.051.02b,b,G,H,L,H,H,L,H,L,L
5.051.02c,c,G,H,H,L,L,L,H,L,H
5.051.03a,a,G,H,H,H,H,L,H,L,L
5.051.03b,b,G,H,H,H,L,L,H,L,L
5.051.03c,c,G,H,H,H,H,L,H,L,H
5.051.04a,a,G,L,H,H,H,L,H,L,H
5.051.04b,b,G,L,H,H,L,L,H,L,H
5.051.04c,c,G,L,L,H,H,L,H,L,H
5.051.14a,a,A,L,H,L,H,H,L,L,H
5.051.14b,b,A,L,H,L,H,H,H,L,L
5.051.14c,c,A,H,L,L,H,H,H,H,L
5.051.14d,d,A,H,L,L,L,L,H,L,L
5.052.01a,a,A,L,H,L,H,L,H,L,H
5.052.01b,b,A,H,H,L,H,L,H,L,L
5.052.01c,c,A,H,H,H,L,L,H,L,L
5.052.01d,d,A,L,H,L,H,L,H,L,H
5.052.05a,a,A,H,H,H,H,L,H,L,H
5.052.05b,b,A,L,H,L,H,L,L,L,L
5.052.05c,c,A,L,H,H,H,L,H,L,H
5.052.05d,d,A,L,H,H,H,L,H,L,L
5.052.08a,a,A,H,H,H,L,L,H,H,L
5.052.08b,b,A,H,L,L,L,L,H,L,L
5.052.08c,c,A,L,L,L,H,L,H,L,L
5.052.08d,d,A,L,H,H,L,L,L,L,H
5.052.10a,a,A,H,L,L,H,L,L,L,H
5.052.10b,b,A,H,H,L,L,L,L,L,H
5.052.10c,c,A,H,H,H,H,L,H,L,L
5.052.10d,d,A,H,H,H,H,L,H,L,H
5.052.11a,a,A,L,H,L,H,L,H,L,H
5.052.11b,b,A,L,H,L,L,L,H,L,H
5.052.11c,c,A,L,H,H,H,L,L,L,L
5.052.11d,d,A,H,H,H,H,L,H,L,H
5.052.12a,a,A,H,H,L,H,L,H,L,L
5.052.12b,b,A,H,L,H,H,L,H,L,L
5.052.12c,c,A,H,H,H,H,L,H,L,L
5.052.12d,d,A,H,H,H,H,L,L,L,H
5.052.13a,a,A,L,H,L,H,L,H,L,L
5.052.13b,b,A,L,L,H,H,L,H,L,L
5.052.13c,c,A,L,L,H,H,L,H,L,L
5.052.13d,d,A,L,H,H,L,L,H,L,H
5.053.03a,a,A,H,L,H,H,L,H,L,L
5.053.03b,b,A,L,L,L,H,L,H,L,H
5.053.03c,c,A,L,H,H,L,L,H,L,L
5.053.03d,d,A,L,H,H,H,L,L,L,L
5.053.08a,a,G,H,H,L,L,L,H,L,L
5.053.08b,b,G,H,L,H,H,L,H,L,L
5.053.08c,c,G,H,L,H,L,L,H,L,L
5.053.12a,a,G,H,L,H,L,L,H,H,L
5.053.12b,b,G,H,L,H,H,L,L,L,L
5.053.12c,c,G,H,H,H,H,L,L,L,L
5.061.01a,a,G,H,H,L,H,H,L,L,H
5.061.01b,b,G,L,H,L,H,L,H,L,L
5.061.01c,c,G,L,L,H,H,L,H,L,L
5.061.02a,a,G,L,H,H,L,L,H,L,L
5.061.02b,b,G,L,H,H,L,L,H,L,L
5.061.02c,c,G,H,H,L,H,L,H,L,L
5.061.04a,a,G,L,H,H,H,L,H,L,L
5.061.04b,b,G,H,H,H,H,L,H,L,L
5.061.04c,c,G,H,L,L,H,L,H,L,L
5.061.05a,a,A,L,H,L,H,L,H,L,L
5.061.05b,b,A,L,L,H,H,L,H,L,L
5.061.05c,c,A,H,H,L,H,L,H,L,H
5.061.05d,d,A,H,H,H,H,L,H,L,L
5.061.06a,a,G,L,L,H,H,L,H,L,H
5.061.06b,b,G,H,H,L,L,L,H,L,H
5.061.06c,c,G,L,H,H,H,L,H,L,L
5.061.07a,a,G,L,H,H,H,L,L,L,L
5.061.07b,b,G,L,H,H,H,L,H,L,L
5.061.07c,c,G,H,H,H,L,L,H,L,L
5.061.08a,a,G,L,L,H,H,H,H,L,L
5.061.08b,b,G,L,H,L,L,L,H,L,L
5.061.08c,c,G,L,H,L,H,L,H,L,L
5.061.11a,a,G,L,H,L,H,L,H,L,L
5.061.11b,b,G,L,H,H,L,L,H,L,L
5.061.11c,c,G,H,L,L,H,L,L,L,H
5.061.12a,a,G,H,H,L,H,L,H,L,H
5.061.12b,b,G,H,H,H,H,L,H,L,H
5.061.12c,c,G,L,L,H,L,L,H,L,L
5.061.13a,a,G,L,H,L,H,L,H,L,L
5.061.13b,b,G,H,L,L,H,L,H,L,L
5.061.13c,c,G,L,H,H,H,L,H,L,L
5.061.15a,a,G,H,H,H,H,L,H,L,L
5.061.15b,b,G,L,H,H,L,H,H,L,H
5.061.15c,c,G,H,H,H,H,L,H,L,L
5.061.17a,a,G,H,H,H,H,L,H,L,H
5.061.17b,b,G,H,L,H,L,L,H,L,L
5.061.17c,c,G,L,H,H,L,L,H,L,L
5.061.18a,a,G,L,L,H,H,L,H,L,L
5.061.18b,b,G,L,L,H,H,L,L,H,H
5.061.18c,c,G,L,H,H,L,L,H,L,H
5.061.19a,a,G,H,L,H,L,L,L,H,L
5.061.19b,b,G,L,L,H,H,L,H,L,L
5.061.19c,c,G,H,L,H,L,L,H,L,L
5.064.01a,a,A,L,L,H,H,L,H,L,L
5.064.01b,b,A,L,H,H,H,L,H,L,H
5.064.01c,c,A,L,L,L,H,L,H,L,H
5.064.01d,d,A,L,H,H,H,L,H,L,L
5.064.06a,a,A,L,H,H,H,L,L,L,L
5.064.06b,b,A,H,H,L,H,L,L,L,L
5.064.06c,c,A,L,L,H,H,L,H,L,H
5.064.06d,d,A,L,H,H,H,L,H,L,H
5.065.01a,a,A,H,L,H,L,L,H,L,L
5.065.01b,b,A,H,H,H,L,L,H,L,L
5.065.01c,c,A,L,L,H,H,L,H,L,H
5.065.01d,d,A,H,H,H,L,L,H,L,L
5.065.02a,a,A,H,L,L,H,L,H,L,H
5.065.02b,b,A,H,H,H,H,H,H,L,H
5.065.02c,c,A,H,H,L,L,L,H,L,L
5.065.02d,d,A,L,H,H,H,L,H,L,H
5.065.03a,a,A,H,H,L,H,H,L,L,H
5.065.03b,b,A,H,L,L,L,L,H,L,H
5.065.03c,c,A,L,H,H,H,L,H,L,H
5.065.03d,d,A,H,H,L,L,L,H,L,H
5.065.04a,a,A,H,H,H,H,L,H,L,L
5.065.04b,b,A,L,H,L,H,H,L,L,H
5.065.04c,c,A,H,H,L,L,L,H,L,L
5.065.04d,d,A,L,L,L,H,L,L,L,L
5.065.05a,a,A,L,H,H,H,L,L,L,L
5.065.05b,b,A,L,H,L,H,L,H,L,H
5.065.05c,c,A,L,H,L,H,L,H,L,L
5.065.05d,d,A,H,H,L,L,L,H,L,L
5.066.01a,a,A,H,L,L,H,L,H,L,H
5.066.01b,b,A,H,H,H,L,L,H,L,H
5.066.01c,c,A,L,L,H,L,L,H,L,H
5.066.01d,d,A,L,H,L,L,L,H,L,H
5.066.02a,a,A,H,L,H,L,L,H,L,L
5.066.02b,b,A,H,L,L,H,L,H,L,H
5.066.02c,c,A,L,L,L,H,L,H,L,L
5.066.02d,d,A,L,H,L,H,L,H,L,L
5.066.06a,a,A,H,H,H,H,L,H,L,H
5.066.06b,b,A,H,L,L,H,L,H,L,L
5.066.06c,c,A,L,H,H,L,L,H,L,H
5.066.06d,d,A,L,H,L,L,L,H,L,H
5.067.01a,a,A,L,H,H,H,L,H,L,L
5.067.01b,b,A,H,H,H,L,L,H,L,L
5.067.01c,c,A,L,L,L,H,L,H,L,L
5.067.01d,d,A,H,H,H,H,L,H,L,H
5.067.04a,a,A,H,L,H,L,L,H,L,L
5.067.04b,b,A,L,H,H,H,L,H,L,H
5.067.04c,c,A,L,H,H,H,L,H,L,H
5.067.04d,d,A,H,H,L,L,L,H,L,L
5.068.01a,a,G,L,H,H,H,L,H,L,L
5.068.01b,b,G,L,L,H,L,L,H,L,H
5.068.01c,c,G,L,H,H,H,L,H,L,L
5.068.02a,a,G,H,H,H,H,L,L,H,H
5.068.02b,b,G,H,H,H,H,L,L,H,L
5.068.02c,c,G,H,H,H,H,L,L,H,H
5.068.03a,a,G,H,H,H,H,H,L,H,L
5.068.03b,b,G,L,H,H,H,L,L,H,L
5.068.03c,c,G,L,L,H,H,H,H,H,L
5.068.04a,a,G,L,L,L,H,L,L,H,H
5.068.04b,b,G,L,L,H,H,L,H,H,H
5.068.04c,c,G,H,L,H,H,H,H,H,H
5.068.05a,a,G,H,H,H,H,H,L,H,H
5.068.05b,b,G,L,H,L,H,H,L,H,H
5.068.05c,c,G,L,H,H,H,L,H,H,H
5.070.01a,a,G,L,H,L,H,H,L,H,L
5.070.01b,b,G,L,H,H,H,H,L,L,L
5.070.01c,c,G,H,L,H,L,H,L,L,L
5.070.02a,a,G,H,H,H,L,H,H,H,H
5.070.02b,b,G,L,L,H,H,L,H,L,H
5.070.02c,c,G,L,H,H,H,H,L,H,L
5.070.03a,a,G,H,H,H,H,H,H,L,L
5.070.03b,b,G,L,L,H,H,H,H,H,H
5.070.03c,c,G,H,H,L,H,H,L,H,L
5.070.04a,a,G,H,H,L,H,L,H,L,H
5.070.04b,b,G,H,H,L,H,H,L,H,L
5.070.04c,c,G,H,H,L,H,H,L,L,H
5.071.01a,a,G,H,H,H,H,L,H,L,H
5.071.01b,b,G,L,L,L,H,L,H,L,H
5.071.01c,c,G,L,H,H,H,L,H,L,L
5.071.02a,a,G,H,H,L,L,L,H,L,H
5.071.02b,b,G,L,L,L,H,L,H,L,L
5.071.02c,c,G,H,H,H,H,L,H,L,L
5.071.03a,a,G,L,L,H,L,L,H,L,L
5.071.03b,b,G,L,L,L,H,L,H,L,L
5.071.03c,c,G,H,L,H,H,L,H,L,H
5.073.01a,a,A,L,H,L,H,L,H,L,L
5.073.01b,b,A,L,H,H,L,L,H,L,H
5.073.01c,c,A,H,H,L,H,L,L,L,H
5.073.01d,d,A,L,H,L,H,L,H,L,L
5.073.02a,a,A,L,L,H,L,L,H,L,H
