Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
1.005.03c,c,G,L,H,H,H,L,H,L,L
1.005.04a,a,G,H,L,H,H,L,H,L,H
1.005.04b,b,G,L,H,L,H,L,H,L,L
1.005.04c,c,G,H,L,H,H,L,H,L,L
1.005.05a,a,G,L,L,H,H,L,L,L,H
1.005.05b,b,G,L,L,H,H,L,H,L,H
1.005.05c,c,G,H,H,H,L,L,H,L,L
1.005.06a,a,G,L,H,L,H,L,H,L,H
1.005.06b,b,G,H,H,H,H,L,H,L,H
1.005.06c,c,G,H,L,H,H,L,H,L,H
1.005.07a,a,G,H,H,L,H,L,H,L,L
1.005.07b,b,G,H,H,L,H,L,H,L,L
1.005.07c,c,G,H,H,H,L,L,H,L,H
1.005.08a,a,G,L,H,H,L,L,H,L,L
1.005.08b,b,G,L,H,H,H,L,H,L,H
1.005.08c,c,G,L,H,H,H,L,H,L,L
1.005.09a,a,G,H,L,H,H,L,H,L,L
1.005.09b,b,G,H,L,H,H,L,H,L,L
1.005.09c,c,G,H,H,H,H,L,H,L,H
1.005.10a,a,G,H,H,H,L,L,L,L,L
1.005.10b,b,G,L,H,H,H,L,H,L,L
1.005.10c,c,G,H,H,H,L,L,H,L,L
1.006.01a,a,G,H,H,L,H,L,L,L,L
1.006.01b,b,G,L,H,H,L,L,H,L,L
1.006.01c,c,G,H,H,H,H,L,H,L,L
1.006.02a,a,G,H,H,L,H,L,H,L,H
1.006.02b,b,G,L,H,L,H,L,H,L,H
1.006.02c,c,G,H,H,H,H,L,H,L,H
1.006.03a,a,G,H,H,H,H,L,H,L,H
1.006.03b,b,G,H,H,H,L,L,H,L,H
1.006.03c,c,G,L,L,H,L,L,H,L,H
1.006.05a,a,G,H,L,L,H,L,H,L,L
1.006.05b,b,G,L,H,L,H,L,H,L,L
1.006.05c,c,G,L,H,L,H,L,L,L,L
1.006.06a,a,G,H,L,H,H,L,H,L,L
1.006.06b,b,G,L,H,L,H,L,H,L,L
1.006.06c,c,G,L,H,L,H,L,L,L,L
1.006.07a,a,G,H,H,L,H,L,H,L,H
1.006.07b,b,G,H,H,H,H,L,H,L,H
1.006.07c,c,G,H,H,L,H,L,H,L,H
1.006.08a,a,G,L,L,H,H,L,H,L,L
1.006.08b,b,G,L,H,L,H,L,H,L,L
1.006.08c,c,G,L,H,H,H,L,H,L,H
1.006.09a,a,G,L,H,L,H,L,H,L,L
1.006.09b,b,G,L,H,H,H,L,H,L,L
1.006.09c,c,G,L,H,H,H,L,H,L,L
1.006.10a,a,G,L,H,H,H,L,H,L,H
1.006.10b,b,G,L,H,H,H,L,H,L,L
1.006.10c,c,G,H,H,L,H,H,L,L,L
1.007.01a,a,G,H,L,H,H,L,H,L,L
1.007.01b,b,G,H,L,H,H,L,H,L,L
1.007.01c,c,G,H,H,H,H,L,H,L,L
1.007.02a,a,G,H,L,H,L,L,H,L,H
1.007.02b,b,G,H,H,L,H,L,H,L,H
1.007.02c,c,G,H,H,H,H,L,H,L,L
1.007.03a,a,G,H,H,H,H,L,H,L,L
1.007.03b,b,G,H,H,H,H,L,H,L,L
1.007.03c,c,G,L,H,L,H,L,H,L,L
1.007.04a,a,G,H,L,H,H,L,L,L,L
1.007.04b,b,G,L,H,H,L,L,H,L,L
1.007.04c,c,G,H,L,H,H,L,H,L,L
1.007.05a,a,G,H,H,L,H,L,H,L,L
1.007.05b,b,G,H,L,H,H,L,H,L,H
1.007.05c,c,G,L,H,H,H,L,H,L,L
1.007.06a,a,G,L,H,L,H,L,H,L,L
1.007.06b,b,G,H,H,H,H,L,H,L,L
1.007.06c,c,G,H,H,L,H,L,H,L,L
1.007.07a,a,G,H,H,H,H,L,H,L,H
1.007.07b,b,G,H,L,H,H,L,H,L,L
1.007.07c,c,G,L,H,L,H,L,H,L,L
1.007.08a,a,G,L,H,H,H,L,H,L,L
1.007.08b,b,G,H,H,L,H,L,H,L,H
1.007.08c,c,G,H,H,H,H,L,H,L,L
1.007.10a,a,G,H,H,H,H,L,H,L,L
1.007.10b,b,G,L,H,L,H,L,H,L,L
1.007.10c,c,G,H,H,L,H,L,H,L,L
1.008.01a,a,G,L,H,L,H,L,H,L,L
1.008.01b,b,G,L,H,H,H,L,H,L,L
1.008.01c,c,G,H,H,L,H,L,H,L,L
1.008.02a,a,G,L,H,L,H,L,H,L,H
1.008.02b,b,G,L,H,H,L,L,H,L,H
1.008.02c,c,G,L,H,H,H,L,H,L,H
1.008.03a,a,G,H,L,H,H,L,H,L,L
1.008.03b,b,G,H,H,L,H,L,H,L,L
1.008.03c,c,G,L,H,L,H,L,L,L,L
1.008.04a,a,G,L,H,H,H,L,H,L,L
1.008.04b,b,G,H,L,L,H,L,H,L,L
1.008.04c,c,G,H,H,H,L,L,H,L,L
1.008.05a,a,G,L,H,H,H,L,H,L,L
1.008.05b,b,G,L,H,L,H,L,H,L,H
1.008.05c,c,G,L,H,L,L,L,H,L,L
1.008.06a,a,G,L,H,H,H,L,H,L,L
1.008.06b,b,G,L,H,H,H,L,L,L,H
1.008.06c,c,G,H,H,H,H,L,H,L,L
1.008.07a,a,G,H,H,H,H,L,H,L,L
1.008.07b,b,G,L,H,L,L,L,H,L,H
1.008.07c,c,G,H,H,H,H,L,H,L,L
1.008.08a,a,G,H,H,L,H,L,H,L,H
1.008.08b,b,G,L,H,H,H,L,H,L,H
1.008.08c,c,G,H,H,H,H,L,H,L,H
1.008.09a,a,G,H,H,L,H,L,H,L,L
1.008.09b,b,G,H,L,L,H,L,H,L,H
1.008.09c,c,G,H,H,H,H,L,H,L,H
1.008.10a,a,G,H,H,L,H,L,H,L,H
1.008.10b,b,G,H,L,H,H,L,H,L,H
1.008.10c,c,G,H,H,L,H,L,H,L,H
1.009.01a,a,G,H,H,L,H,L,H,L,H
1.009.01b,b,G,H,H,H,H,L,H,L,L
1.009.01c,c,G,L,H,L,H,L,H,L,H
1.009.02a,a,G,H,H,H,L,L,H,L,H
1.009.02b,b,G,H,L,H,H,L,H,L,H
1.009.02c,c,G,H,H,H,H,L,H,L,H
1.009.03a,a,G,H,H,L,H,L,H,L,L
1.009.03b,b,G,H,H,H,H,L,H,L,H
1.009.03c,c,G,L,H,L,L,L,H,L,H
1.009.04a,a,G,L,H,L,H,L,H,L,L
1.009.04b,b,G,L,L,H,L,L,H,L,L
1.009.04c,c,G,L,H,H,L,L,H,L,L
1.009.05a,a,G,H,H,L,L,H,L,H,H
1.009.05b,b,G,H,L,H,L,L,H,L,L
1.009.05c,c,G,L,L,H,H,L,L,L,L
1.009.06a,a,G,H,H,L,H,L,H,L,L
1.009.06b,b,G,H,L,H,H,L,H,L,L
1.009.06c,c,G,L,H,H,L,L,H,L,L
1.009.07a,a,G,H,H,L,H,L,H,L,L
1.009.07b,b,G,H,H,L,L,L,H,L,L
1.009.07c,c,G,H,H,H,H,L,H,L,L
1.009.08a,a,G,H,H,H,L,L,H,L,L
1.009.08b,b,G,H,H,L,H,L,H,L,L
1.009.08c,c,G,H,L,H,L,L,H,L,L
1.009.09a,a,G,L,H,H,H,L,L,L,L
1.009.09b,b,G,H,H,L,H,L,H,L,L
1.009.09c,c,G,H,L,H,H,L,H,L,H
1.009.10a,a,G,L,H,L,H,L,H,L,H
1.009.10b,b,G,L,H,L,L,L,H,L,L
1.009.10c,c,G,H,H,L,H,L,H,L,L
1.010.01a,a,A,H,H,L,H,H,H,L,H
